Global Unit,Organizational Unit,Date,Company,MHW (C + NC),MHW ( C ),# Employees (C+NC),# Employees (C)
Development Vice Presidency,Development Vice Presidency,2019-03-01,Company,567.0,567.0,3.0,3.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-03-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,SHE Vice Presidency,2019-03-01,Company,162.0,162.0,1.0,1.0
SHE Vice Presidency,SHE Vice Presidency,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Technology,2019-03-01,Company,4042.5,4042.5,22.0,22.0
Global Business Services & Technology,Technology,2019-03-01,Contractors,8728.0,8728.0,52.0,52.0
Development Vice Presidency,Environmental Permits Management,2019-03-01,Company,1354.5,1354.5,7.0,7.0
Operations Vice Presidency,Mine Operations Management,2019-03-01,Contractors,72381.0,72381.0,374.0,374.0
Operations Vice Presidency,Mine Operations Management,2019-03-01,Company,125990.25,125990.25,743.0,743.0
Development Vice Presidency,Environmental Permits Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Concentrator Plant Management,2019-03-01,Contractors,13089.0,13089.0,98.0,98.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-03-01,Company,1732.5,1732.5,9.0,9.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-03-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Environment Management,2019-03-01,Contractors,1368.0,1368.0,6.0,6.0
Commercial Vice Presidency,Tax Management,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Regional Management of Technical Services,2019-03-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Human Resources,Development and Training Management,2019-03-01,Company,2514.681818181818,2514.681818181818,14.0,14.0
Operations Vice Presidency,Concentrator Plant Management,2019-03-01,Company,39343.5,39343.5,235.0,235.0
Vice President of Projects,Studies Management,2019-03-01,Company,1953.0,1953.0,10.0,10.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-03-01,Company,2454.0,2454.0,14.0,14.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Land Acquisition and Resettlement Management,2019-04-01,Company,1533.0,1533.0,9.0,9.0
Development Vice Presidency,Resources Development Management,2019-04-01,Contractors,28464.0,28464.0,203.0,203.0
Development Vice Presidency,Resources Development Management,2019-04-01,Company,4367.25,4367.25,32.0,32.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-04-01,Company,693.0,693.0,3.0,3.0
Vice Presidency of Community Relations,Social Development Management,2019-04-01,Company,0.0,0.0,0.0,0.0
Operations Vice Presidency,Technical Services Management,2019-04-01,Contractors,27786.0,27786.0,180.0,180.0
Commercial Vice Presidency,Tax Management,2019-04-01,Company,648.0,648.0,5.0,5.0
Operations Vice Presidency,Technical Services Management,2019-04-01,Company,12210.717391304348,12210.717391304348,88.0,88.0
Vice Presidency of Human Resources,Development and Training Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Engineering Management,2019-04-01,Contractors,49350.0,10817.0,370.0,96.0
Development Vice Presidency,Project Services Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,Tax Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Health and Safety Management,2019-04-01,Contractors,7992.0,7992.0,57.0,57.0
SHE Vice Presidency,Health and Safety Management,2019-04-01,Company,5082.0,5082.0,33.0,33.0
Development Vice Presidency,Regional Management of Technical Services,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Operations Vice Presidency,2019-04-01,Company,346.5,346.5,2.0,2.0
Operations Vice Presidency,Operations Vice Presidency,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-04-01,Company,9645.5,9645.5,70.0,70.0
Vice Presidency of Human Resources,Development and Training Management,2019-04-01,Company,1635.0,1635.0,14.0,14.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-04-01,Company,522.0,522.0,3.0,3.0
Development Vice Presidency,Project Services Management,2019-04-01,Company,4485.0,4485.0,27.0,27.0
Vice Presidency of Community Relations,Social Development Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-04-01,Company,217.5,217.5,1.0,1.0
Vice Presidency of Community Relations,Land Acquisition and Resettlement Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Engineering Management,2019-04-01,Company,220.5,220.5,1.0,1.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-04-01,Company,504.0,504.0,3.0,3.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,finance management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Las Bambas Presidency,Executive Office,2019-04-01,Company,613.5,613.5,3.0,3.0
Commercial Vice Presidency,finance management,2019-04-01,Company,1143.0,1143.0,8.0,8.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-04-01,Company,2191.5,2191.5,14.0,14.0
Group Explorations Management,Group Explorations Management,2019-04-01,Company,577.5,577.5,3.0,3.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Group Explorations Management,Group Explorations Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Regional Management of Technical Services,2019-04-01,Company,2907.0,2907.0,15.0,15.0
Global Business Services & Technology,Global Business Services,2019-04-01,Contractors,5076.0,5076.0,57.0,57.0
Global Business Services & Technology,Global Business Services,2019-04-01,Company,4030.5,4030.5,24.0,24.0
Vice Presidency of Human Resources,Human Resources Management,2019-04-01,Contractors,1188.0,1188.0,7.0,7.0
Vice Presidency of Human Resources,Human Resources Management,2019-04-01,Company,2160.0,2160.0,14.0,14.0
Vice Presidency of Community Relations,Community Relations Management,2019-04-01,Company,14240.0,14240.0,95.0,95.0
Las Bambas Presidency,Executive Office,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-04-01,Company,723.0,723.0,4.0,4.0
SHE Vice Presidency,Environment Management,2019-04-01,Contractors,11600.0,11600.0,105.0,105.0
Vice Presidency of Community Relations,Community Relations Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-04-01,Contractors,397930.0,165482.55,2364.0,2168.0
Development Vice Presidency,Environmental Permits Management,2019-04-01,Company,1131.0,1131.0,7.0,7.0
Development Vice Presidency,Pit3 Management,2019-04-01,Company,1660.5,1660.5,10.0,10.0
Development Vice Presidency,Development Vice Presidency,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-04-01,Company,1044.0,1044.0,6.0,6.0
Development Vice Presidency,Pit3 Management,2019-04-01,Contractors,4956.0,4956.0,21.0,21.0
SHE Vice Presidency,SHE Vice Presidency,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Internal Protection Management,Internal Protection Management,2019-04-01,Company,1281.0,1281.0,8.0,8.0
Vice Presidency of Supply,Procurement Management - Projects,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Procurement Management - Projects,2019-04-01,Company,406.5,406.5,2.0,2.0
Vice President of Projects,Studies Management,2019-04-01,Company,1815.0,1815.0,10.0,10.0
Vice President of Projects,Studies Management,2019-04-01,Contractors,2160.0,2160.0,9.0,9.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,maintenance management,2019-04-01,Contractors,57827.0,57827.0,648.0,648.0
Operations Vice Presidency,Concentrator Plant Management,2019-04-01,Contractors,12001.0,12001.0,117.0,117.0
Operations Vice Presidency,Concentrator Plant Management,2019-04-01,Company,34712.25,34712.25,235.0,235.0
Vice Presidency of Corporate Affairs,Communications Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Communications Management,2019-04-01,Company,2242.5,2242.5,14.0,14.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-04-01,Company,3929.25,3929.25,26.0,26.0
Operations Vice Presidency,maintenance management,2019-04-01,Company,30742.5,30742.5,184.0,184.0
Operations Vice Presidency,maintenance management,2019-04-01,Company,17750.5,17750.5,127.0,127.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-04-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,maintenance management,2019-04-01,Contractors,138898.0,138898.0,1043.0,1043.0
SHE Vice Presidency,SHE Vice Presidency,2019-04-01,Company,180.0,180.0,1.0,1.0
Vice President of Projects,Vice President of Projects,2019-04-01,Company,5626.5,5626.5,37.0,37.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-04-01,Company,351.0,351.0,2.0,2.0
Vice Presidency of Operational Excellence,Operational Excellence Management 2,2019-04-01,Company,1365.25,1365.25,11.0,11.0
Vice Presidency of Operational Excellence,Operational Excellence Management 2,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Development Vice Presidency,2019-04-01,Company,549.0,549.0,3.0,3.0
Vice Presidency of Operational Excellence,Operational Excellence Management 3,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Internal Protection Management,Internal Protection Management,2019-04-01,Contractors,25428.0,25428.0,135.0,135.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Technology,2019-04-01,Company,3780.0,3780.0,22.0,22.0
Vice Presidency of Supply,Contracting Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Technology,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Operational Excellence Management 3,2019-04-01,Company,279.0,279.0,2.0,2.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-04-01,Company,675.0,675.0,5.0,5.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Contracting Management,2019-04-01,Company,2340.0,2340.0,14.0,14.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-04-01,Company,1518.0,1518.0,9.0,9.0
Vice Presidency of Operational Excellence,Operational Excellence Management 1,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Environmental Permits Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Environment Management,2019-04-01,Company,2635.5,2635.5,15.0,15.0
General Management Operations Las Bambas,LB Operations General Management,2019-04-01,Company,690.0,690.0,3.0,3.0
General Management Operations Las Bambas,LB Operations General Management,2019-04-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Mine Operations Management,2019-04-01,Contractors,64309.0,64309.0,363.0,363.0
Operations Vice Presidency,Mine Operations Management,2019-04-01,Company,89212.0,89212.0,743.0,743.0
Vice President of Projects,Vice President of Projects,2019-04-01,Contractors,153540.0,153540.0,1808.0,1808.0
Vice Presidency of Operational Excellence,Operational Excellence Management 1,2019-04-01,Company,750.0,750.0,5.0,5.0
SHE Vice Presidency,SHE Vice Presidency,2019-05-01,Company,207.0,207.0,1.0,1.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-05-01,Company,414.0,414.0,2.0,2.0
Operations Vice Presidency,Concentrator Plant Management,2019-05-01,Contractors,25785.5,25785.5,133.0,133.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Procurement Management - Projects,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Pit3 Management,2019-05-01,Company,1764.0,1764.0,9.0,9.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-05-01,Company,711.0,711.0,4.0,4.0
SHE Vice Presidency,SHE Vice Presidency,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Concentrator Plant Management,2019-05-01,Company,40778.5,40778.5,233.0,233.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-05-01,Company,4652.75,4652.75,25.0,25.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Pit3 Management,2019-05-01,Contractors,4956.0,4956.0,21.0,21.0
Vice President of Projects,Vice President of Projects,2019-05-01,Company,6163.5,6163.5,30.0,30.0
SHE Vice Presidency,Environment Management,2019-05-01,Contractors,18408.0,18408.0,117.0,117.0
Global Business Services & Technology,Technology,2019-05-01,Contractors,3240.0,3240.0,22.0,22.0
Global Business Services & Technology,Technology,2019-05-01,Company,4329.0,4329.0,22.0,22.0
Development Vice Presidency,Environmental Permits Management,2019-05-01,Company,1276.5,1276.5,6.0,6.0
Development Vice Presidency,Environmental Permits Management,2019-05-01,Contractors,932.0,932.0,9.0,8.0
Vice Presidency of Corporate Affairs,Regional Public Affairs Management,2019-05-01,Company,1279.5,1279.5,6.0,6.0
Vice President of Projects,Studies Management,2019-05-01,Company,2874.0,2874.0,15.0,15.0
Vice Presidency of Supply,"Planning Management, Inventory. and Warehouses",2019-05-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,finance management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Operational Excellence Management 1,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Supply,Contracting Management,2019-05-01,Company,2565.0,2565.0,14.0,14.0
Operations Vice Presidency,Mine Operations Management,2019-05-01,Company,132826.75,132826.75,769.0,769.0
Vice Presidency of Community Relations,Social Development Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Operational Excellence Management 1,2019-05-01,Company,889.5,889.5,5.0,5.0
Vice Presidency of Human Resources,Development and Training Management,2019-05-01,Company,2229.0,2229.0,12.0,12.0
Vice Presidency of Human Resources,Development and Training Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Resources Development Management,2019-05-01,Contractors,92686.0,92686.0,464.0,464.0
Development Vice Presidency,Resources Development Management,2019-05-01,Company,5940.25,5940.25,31.0,31.0
Vice Presidency of Operational Excellence,Operational Excellence Management 2,2019-05-01,Company,2103.0,2103.0,11.0,11.0
Vice Presidency of Supply,Contracting Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-05-01,Company,228.0,228.0,1.0,1.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-05-01,Company,2775.0,2775.0,15.0,15.0
Vice Presidency of Operational Excellence,Operational Excellence Management 3,2019-05-01,Company,429.0,429.0,2.0,2.0
Vice Presidency of Operational Excellence,Operational Excellence Management 3,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Development Vice Presidency,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Development Vice Presidency,2019-05-01,Company,621.0,621.0,3.0,3.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Vice Presidency of Legal Affairs,2019-05-01,Company,1035.0,1035.0,5.0,5.0
Vice President of Projects,Studies Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Operational Excellence Management 2,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,finance management,2019-05-01,Company,1359.0,1359.0,8.0,8.0
Operations Vice Presidency,Operations Vice Presidency,2019-05-01,Company,462.0,462.0,2.0,2.0
Operations Vice Presidency,Operations Vice Presidency,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Vice Presidency of Community Relations,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,Mine Operations Management,2019-05-01,Contractors,162861.0,162861.0,727.0,727.0
General Management Operations Las Bambas,LB Operations General Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice President of Projects,Vice President of Projects,2019-05-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Environment Management,2019-05-01,Company,2908.5,2908.5,14.0,14.0
Vice Presidency of Community Relations,Social Development Management,2019-05-01,Company,0.0,0.0,0.0,0.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-05-01,Contractors,471666.3,181193.25000000003,2439.0,2198.0
Operations Vice Presidency,maintenance management,2019-05-01,Contractors,26062.0,26062.0,157.0,157.0
Development Vice Presidency,Engineering Management,2019-05-01,Company,231.0,231.0,1.0,1.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-05-01,Company,621.0,621.0,3.0,3.0
Development Vice Presidency,Engineering Management,2019-05-01,Contractors,70573.0,22095.0,327.0,97.0
Commercial Vice Presidency,Comptroller and Risk Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Regional Management of Technical Services,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Communications Management,2019-05-01,Company,2880.0,2880.0,14.0,14.0
Development Vice Presidency,Regional Management of Technical Services,2019-05-01,Company,3006.0,3006.0,17.0,17.0
Commercial Vice Presidency,Tax Management,2019-05-01,Company,630.0,630.0,5.0,5.0
Commercial Vice Presidency,Tax Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,maintenance management,2019-05-01,Contractors,196143.0,196143.0,1053.0,1053.0
Operations Vice Presidency,maintenance management,2019-05-01,Company,20849.25,20849.25,125.0,125.0
Vice Presidency of Corporate Affairs,Communications Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Operations Vice Presidency,maintenance management,2019-05-01,Company,30534.5,30534.5,182.0,182.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-05-01,Company,459.0,459.0,3.0,3.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-05-01,Company,513.0,513.0,3.0,3.0
Commercial Vice Presidency,Commercial Vice Presidency,2019-05-01,Contractors,552.0,552.0,2.0,2.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-05-01,Company,13641.75,13641.75,69.0,69.0
Commercial Vice Presidency,Comptroller and Risk Management,2019-05-01,Company,1191.0,1191.0,6.0,6.0
General Management Operations Las Bambas,LB Operations General Management,2019-05-01,Company,573.0,573.0,3.0,3.0
Group Explorations Management,Group Explorations Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Global Business Services,2019-05-01,Company,4023.0,4023.0,22.0,22.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Las Bambas Presidency,Executive Office,2019-05-01,Company,561.0,561.0,3.0,3.0
Vice Presidency of Supply,Procurement Management - Projects,2019-05-01,Company,427.5,427.5,2.0,2.0
Global Business Services & Technology,Global Business Services,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Internal Protection Management,Internal Protection Management,2019-05-01,Contractors,22388.0,22388.0,121.0,121.0
Internal Protection Management,Internal Protection Management,2019-05-01,Company,1344.0,1344.0,6.0,6.0
Group Explorations Management,Group Explorations Management,2019-05-01,Company,577.5,577.5,3.0,3.0
Operations Vice Presidency,Technical Services Management,2019-05-01,Company,16094.0,16094.0,87.0,87.0
Operations Vice Presidency,Technical Services Management,2019-05-01,Contractors,9300.0,9300.0,43.0,43.0
Vice Presidency of Community Relations,Land Acquisition and Resettlement Management,2019-05-01,Company,1732.5,1732.5,9.0,9.0
Development Vice Presidency,Project Services Management,2019-05-01,Company,5296.5,5296.5,27.0,27.0
SHE Vice Presidency,Health and Safety Management,2019-05-01,Company,6048.0,6048.0,32.0,32.0
SHE Vice Presidency,Health and Safety Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Land Acquisition and Resettlement Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Project Services Management,2019-05-01,Contractors,204205.0,204205.0,1792.0,1792.0
Vice Presidency of Human Resources,Human Resources Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,South Zone Community Relations Management,2019-05-01,Company,6006.0,6006.0,30.0,30.0
Development Vice Presidency,Service Management and Project Support,2019-05-01,Company,27.0,27.0,1.0,1.0
Development Vice Presidency,Service Management and Project Support,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Community Relations Management Site,2019-05-01,Company,12088.0,12088.0,65.0,65.0
Vice Presidency of Community Relations,Community Relations Management Site,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-05-01,Company,988.5,988.5,5.0,5.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Human Resources,Human Resources Management,2019-05-01,Company,2895.0,2895.0,14.0,14.0
Vice Presidency of Community Relations,South Zone Community Relations Management,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Las Bambas Presidency,Executive Office,2019-05-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,Community Relations Management Site,2019-06-01,Company,10140.302631578947,10140.302631578947,63.0,63.0
Vice Presidency of Community Relations,Community Relations Management Site,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Community Relations,South Zone Community Relations Management,2019-06-01,Company,5628.0,5628.0,29.0,29.0
Development Vice Presidency,Regional Management of Technical Services,2019-06-01,Company,3213.0,3213.0,18.0,18.0
Commercial Vice Presidency,Tax Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Project Services Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Project Services Management,2019-06-01,Company,5262.0,5262.0,27.0,27.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-06-01,Company,198.0,198.0,1.0,1.0
Operations Vice Presidency,Operations Vice Presidency,2019-06-01,Company,399.0,399.0,2.0,2.0
Vice Presidency of Community Relations,South Zone Community Relations Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Commercial Vice Presidency,Comptroller and Risk Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Operational Excellence Management 2,2019-06-01,Company,2264.5,2264.5,12.0,12.0
Commercial Vice Presidency,finance management,2019-06-01,Company,1395.0,1395.0,8.0,8.0
Development Vice Presidency,Engineering Management,2019-06-01,Company,199.5,199.5,1.0,1.0
Development Vice Presidency,Engineering Management,2019-06-01,Contractors,78774.0,27943.0,364.0,126.0
Vice Presidency of Human Resources,Development and Training Management,2019-06-01,Company,2139.0,2139.0,12.0,12.0
Vice Presidency of Human Resources,Development and Training Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Service Management and Project Support,2019-06-01,Company,180.0,180.0,1.0,1.0
Commercial Vice Presidency,Comptroller and Risk Management,2019-06-01,Company,1119.0,1119.0,6.0,6.0
Vice Presidency of Corporate Affairs,Communications Management,2019-06-01,Company,2734.5,2734.5,14.0,14.0
Vice President of Projects,Project Management - 3rd Ball Mill,2019-06-01,Contractors,6438.0,6438.0,50.0,50.0
Vice President of Projects,Vice President of Projects,2019-06-01,Contractors,217744.0,217744.0,1897.0,1897.0
Commercial Vice Presidency,Tax Management,2019-06-01,Company,540.0,540.0,5.0,5.0
Commercial Vice Presidency,finance management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Operational Excellence,Vice Presidency of Operational Excellence,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Las Bambas Presidency,Executive Office,2019-06-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Health and Safety Management,2019-06-01,Contractors,9924.0,9924.0,57.0,57.0
SHE Vice Presidency,Environment Management,2019-06-01,Company,2803.5,2803.5,14.0,14.0
Vice Presidency of Human Resources,Human Resources Management,2019-06-01,Contractors,836.0,836.0,2.0,2.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-06-01,Company,576.0,576.0,4.0,4.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-06-01,Company,12958.5,12958.5,68.0,68.0
Development Vice Presidency,Studies Management,2019-06-01,Company,1620.0,1620.0,9.0,9.0
Logistics and Site Services Management,Logistics and Site Services Management,2019-06-01,Contractors,142651.5,104398.0,721.0,489.0
Operations Vice Presidency,Operations Vice Presidency,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Human Resources,Human Resources Management,2019-06-01,Company,2764.5,2764.5,14.0,14.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-06-01,Company,1056.0,1056.0,6.0,6.0
Las Bambas Presidency,Executive Office,2019-06-01,Company,558.0,558.0,3.0,3.0
Vice Presidency of Legal Affairs,Management of Mining Legal Affairs,2019-06-01,Contractors,0.0,0.0,0.0,0.0
SHE Vice Presidency,Health and Safety Management,2019-06-01,Company,5323.5,5323.5,32.0,32.0
Development Vice Presidency,Studies Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Global Business Services,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Environmental Permits Management,2019-06-01,Contractors,1636.0,1636.0,16.0,16.0
Vice Presidency of Supply,Vice Presidency of Supply,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Development Vice Presidency,Service Management and Project Support,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Vice Presidency of Corporate Affairs,2019-06-01,Company,720.0,720.0,4.0,4.0
Operations Vice Presidency,Technical Services Management,2019-06-01,Contractors,8040.0,8040.0,36.0,36.0
Operations Vice Presidency,Technical Services Management,2019-06-01,Company,16472.5,16472.5,88.0,88.0
Vice Presidency of Human Resources,Vice Presidency of Human Resources,2019-06-01,Company,540.0,540.0,3.0,3.0
Development Vice Presidency,Resources Development Management,2019-06-01,Company,5760.25,5760.25,31.0,31.0
Development Vice Presidency,Resources Development Management,2019-06-01,Contractors,93303.0,93303.0,456.0,456.0
Development Vice Presidency,Regional Management of Technical Services,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Global Business Services & Technology,Global Business Services,2019-06-01,Company,3870.0,3870.0,23.0,23.0
Vice President of Projects,Project Management - 3rd Ball Mill,2019-06-01,Company,969.0,969.0,5.0,5.0
SHE Vice Presidency,SHE Vice Presidency,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice Presidency of Corporate Affairs,Public Affairs Management,2019-06-01,Contractors,0.0,0.0,0.0,0.0
Vice President of Projects,Studies Management,2019-06-01,Company,378.0,378.0,2.0,2.0
